Card ID,Card Name,Card URL,Card Description,Labels,Members,Due Date,Attachment Count,Attachment Links,Checklist Item Total Count,Checklist Item Completed Count,Vote Count,Comment Count,Last Activity Date,List ID,List Name,Board ID,Board Name,Archived,Start Date,Due Complete,Due Reminder,Priority,Story Points
699fb02bf788ff7ce137a097,Product Backlog,https://trello.com/c/05rDypRL/8-product-backlog,,,,,0,,0,0,0,0,2026-02-26T03:11:58.571Z,699fb6bfdd1168265f25af30,Product Backlog,699fb0268bc89ad1a0e985e2,Tablero Comanda Digital,false,,false,,,
699fb95fd9845f87278beb0e,🔹 ÉPICA 1: Gestión de Mesas,https://trello.com/c/eE5OOHV9/50-%F0%9F%94%B9-%C3%A9pica-1-gesti%C3%B3n-de-mesas,,,,,0,,0,0,0,0,2026-02-26T03:09:25.098Z,699fb6bfdd1168265f25af30,Product Backlog,699fb0268bc89ad1a0e985e2,Tablero Comanda Digital,false,,false,,,
699fc0744f40647fa02c0497,HU01 – Seleccionar mesa,https://trello.com/c/7SLuJMip/58-hu01-seleccionar-mesa,,Prioridad Alta (red),mantequilla10969,,0,,0,0,0,0,2026-02-26T04:06:04.985Z,699fb6bfdd1168265f25af30,Product Backlog,699fb0268bc89ad1a0e985e2,Tablero Comanda Digital,false,,false,,High,3
699fc2ca9d3d15268e6f09a7,HU02 – Evitar mesas duplicadas,https://trello.com/c/DmllP7dO/60-hu02-evitar-mesas-duplicadas,El sistema evita que dos dispositivos usen la misma mesa simultáneamente.,Prioridad Alta (red),mantequilla10969,,0,,0,0,0,0,2026-02-26T04:06:12.287Z,699fb6bfdd1168265f25af30,Product Backlog,699fb0268bc89ad1a0e985e2,Tablero Comanda Digital,false,,false,,High,5
699fb6ff22be81f08e7fc3a8,HU03 – Agregar/eliminar mesas,https://trello.com/c/dBg0Kmz0/12-hu03-agregar-eliminar-mesas,El administrador puede gestionar las mesas del sistema.,Prioridad Media (yellow),mantequilla10969,,0,,0,0,0,0,2026-02-26T04:06:18.888Z,699fb6bfdd1168265f25af30,Product Backlog,699fb0268bc89ad1a0e985e2,Tablero Comanda Digital,false,,false,,Medium,5
699fb709efa1dca2755dd541,HU04 – Liberar mesa,https://trello.com/c/LSpTfWHu/13-hu04-liberar-mesa,El sistema libera automáticamente la mesa al finalizar el pedido.,Prioridad Alta (red),mantequilla10969,,0,,0,0,0,0,2026-02-26T04:06:24.642Z,699fb6bfdd1168265f25af30,Product Backlog,699fb0268bc89ad1a0e985e2,Tablero Comanda Digital,false,,false,,High,3
699fb70f393a859626cbfabd,HU05 – Ver mesas ocupadas,https://trello.com/c/H0UIeWp5/14-hu05-ver-mesas-ocupadas,El administrador visualiza qué mesas están disponibles u ocupadas.,Prioridad Media (yellow),mantequilla10969,,0,,0,0,0,0,2026-02-26T04:06:34.889Z,699fb6bfdd1168265f25af30,Product Backlog,699fb0268bc89ad1a0e985e2,Tablero Comanda Digital,false,,false,,Medium,3
699fb97193fbd2a33e43f8fb,🔹 ÉPICA 2: Pedido del Cliente,https://trello.com/c/k8f5NSga/51-%F0%9F%94%B9-%C3%A9pica-2-pedido-del-cliente,,,,,0,,0,0,0,0,2026-02-26T03:09:43.752Z,699fb6bfdd1168265f25af30,Product Backlog,699fb0268bc89ad1a0e985e2,Tablero Comanda Digital,false,,false,,,
699fb71e0aa0e0db01842230,HU06 – Visualizar menú,https://trello.com/c/EQf8LWAp/15-hu06-visualizar-men%C3%BA,El cliente puede ver el menú disponible en la tablet.,Prioridad Alta (red),,,0,,0,0,0,0,2026-02-26T03:41:50.962Z,699fb6bfdd1168265f25af30,Product Backlog,699fb0268bc89ad1a0e985e2,Tablero Comanda Digital,false,,false,,High,5
699fd0c125371650fd8d5928,HU07 – Agregar productos al carrito,https://trello.com/c/EkWhBIw9/79-hu07-agregar-productos-al-carrito,El cliente agrega productos seleccionados al carrito.,Prioridad Alta (red),,,0,,0,0,0,0,2026-02-26T04:49:05.889Z,699fb6bfdd1168265f25af30,Product Backlog,699fb0268bc89ad1a0e985e2,Tablero Comanda Digital,false,,false,,High,5
699fc0953f7ebd0f1e3f1966,Objetivo del Sprint,https://trello.com/c/oUKSXSoz/59-objetivo-del-sprint,"**Implementar la base del sistema: identificación de mesas, autenticación de usuarios y visualización inicial del menú.**",,,,0,,0,0,0,0,2026-02-26T03:40:42.160Z,699fc0112dcb4c13da4bc94a,SPRINT1 - Sistema de Comanda Digital,699fb0268bc89ad1a0e985e2,Tablero Comanda Digital,false,,false,,,
699fb4ee396073092d692e5b,HU01 – Seleccionar mesa,https://trello.com/c/9elp2H9O/10-hu01-seleccionar-mesa,El cliente selecciona el número de mesa desde la tablet para identificar su pedido.,Prioridad Alta (red),urielvargasangeles,2026-03-05T03:51:00.000Z,0,,0,0,0,0,2026-02-26T04:57:53.210Z,699fc0112dcb4c13da4bc94a,SPRINT1 - Sistema de Comanda Digital,699fb0268bc89ad1a0e985e2,Tablero Comanda Digital,false,2026-03-02T14:00:00.000Z,false,'-1,High,3
699fb72963997263aa85986f,HU08 – Modificar ingredientes,https://trello.com/c/ohX2AzbW/17-hu08-modificar-ingredientes,El cliente puede agregar o quitar ingredientes de un producto.,Prioridad Media (yellow),,,0,,0,0,0,0,2026-02-26T03:42:08.820Z,699fb6bfdd1168265f25af30,Product Backlog,699fb0268bc89ad1a0e985e2,Tablero Comanda Digital,false,,false,,Medium,5
699fb72fe30118db4ba697b4,HU09 – Eliminar productos del carrito,https://trello.com/c/fENl4GfW/18-hu09-eliminar-productos-del-carrito,El cliente elimina productos previamente agregados.,Prioridad Alta (red),,,0,,0,0,0,0,2026-02-26T03:42:13.027Z,699fb6bfdd1168265f25af30,Product Backlog,699fb0268bc89ad1a0e985e2,Tablero Comanda Digital,false,,false,,High,3
699fb6fa9b26296545a9865e,HU02 – Evitar mesas duplicadas,https://trello.com/c/8QXCdh8K/11-hu02-evitar-mesas-duplicadas,El sistema evita que dos dispositivos usen la misma mesa simultáneamente.,Prioridad Alta (red),urielvargasangeles,2026-03-10T03:51:00.000Z,0,,0,0,0,0,2026-02-26T05:01:15.405Z,699fc0112dcb4c13da4bc94a,SPRINT1 - Sistema de Comanda Digital,699fb0268bc89ad1a0e985e2,Tablero Comanda Digital,false,2026-03-05T14:00:00.000Z,false,'-1,High,5
699fb776cb4238310d1531df,HU10 – Confirmar pedido,https://trello.com/c/8QmaENvI/19-hu10-confirmar-pedido,El cliente confirma el pedido para enviarlo a caja.,Prioridad Alta (red),,,0,,0,0,0,0,2026-02-26T03:42:17.066Z,699fb6bfdd1168265f25af30,Product Backlog,699fb0268bc89ad1a0e985e2,Tablero Comanda Digital,false,,false,,High,5
699fb77d0dcadc5bb0676f20,HU11 – Guardar pedido pendiente,https://trello.com/c/HNJDyEcL/20-hu11-guardar-pedido-pendiente,El sistema guarda el pedido como “pendiente de pago”.,Prioridad Alta (red),,,0,,0,0,0,0,2026-02-26T03:42:22.254Z,699fb6bfdd1168265f25af30,Product Backlog,699fb0268bc89ad1a0e985e2,Tablero Comanda Digital,false,,false,,High,5
699fc2f046207c98c9616b83,HU04 – Liberar mesa,https://trello.com/c/2CFZxP5X/61-hu04-liberar-mesa,El sistema libera automáticamente la mesa al finalizar el pedido.,Prioridad Alta (red),urielvargasangeles,2026-03-14T04:33:00.000Z,0,,0,0,0,0,2026-02-26T05:02:50.638Z,699fc0112dcb4c13da4bc94a,SPRINT1 - Sistema de Comanda Digital,699fb0268bc89ad1a0e985e2,Tablero Comanda Digital,false,2026-03-10T14:00:00.000Z,false,'-1,High,3
699fb987de33f0230b3f7fa0,🔹 ÉPICA 3: Caja,https://trello.com/c/woanz0Q6/52-%F0%9F%94%B9-%C3%A9pica-3-caja,,,,,0,,0,0,0,0,2026-02-26T03:10:04.941Z,699fb6bfdd1168265f25af30,Product Backlog,699fb0268bc89ad1a0e985e2,Tablero Comanda Digital,false,,false,,,
